Pyruvate, ,Lactate 1, ,Lactate 2, ,Alanine, ,Glycine, ,BHB, ,Valine, ,Leucine, ,Isoleucine, ,Succinate 1, ,Succinate 2, ,Succinate 3, ,Succinate 4, ,Proline, ,Fumarate 1, ,Fumarate 2, ,Fumarate 3, ,Methionine, ,Serine, ,a-Kg 1, ,a-Kg 2, ,a-Kg 3, ,Threonine, ,Phenylalanine, ,Malate 1, ,Malate 2, ,Aspartate, ,Glutamate, ,Lysine, ,Histidine, ,Citrate 1, ,Citrate 2, ,Citrate 3, ,Tyrosine, ,
39278,1232285,108658,24537,8583,0,39912,448272,214388,504718,17047,0,15624,353638,41374,414595,18584,377755,74307,16835,502,0,614028,146538,65233,0,4988,234163,29640,28223,1020765,250763,124721,0,15961,383796,46081,636532,81,250,228,126,2493,0,11182,282459,10565,409501,87,104,5928,15477,8736,907,11590,509646,179982,0,41,0,1132,627,821,466,504,0,7353,328254,
264749,1329021,127931,28988,11051,0,16723,499339,264300,487874,4152,0,6988,407002,22751,478508,9953,440774,83958,26241,1485,0,1012219,242636,108801,0,2061,218828,203590,88533,1746321,430182,212213,0,11741,446230,24334,689656,102,142,121,0,26907,0,5873,364494,5433,472852,129856,50704,68518,204579,685,0,4224,519885,13707,0,23,0,710,311,435,237,329,0,3283,372219,
436241,802317,105443,23784,6196,0,9380,288045,33138,281995,5122,0,3592,240085,11430,284396,4456,260861,83982,22041,920,0,597224,142330,64040,0,993,122512,263356,84097,937401,227171,111929,0,6872,268602,16532,413142,74,200,73,74,19787,0,3209,215708,2766,280277,347287,126639,122136,251613,745,0,1894,285800,20781,0,34,0,357,280,255,0,14408,0,1804,218778,
39228,1177051,108982,24637,9274,0,50954,435900,409742,518177,20367,0,17526,340052,61657,400281,20786,363574,56364,15409,1610,0,690513,165123,72153,0,4762,238937,37153,33900,1035912,253783,130843,0,20858,368967,60609,622675,142,221,236,58,7623,0,15351,274070,17038,395313,8590,4736,10487,25728,279,0,52182,571954,152288,0,280,0,595,431,590,0,12966,0,10359,336883,
273034,1161786,161666,36662,10135,0,28544,470933,875975,504185,5070,0,10375,374999,39662,446390,15018,410000,62051,23200,1966,0,940925,225132,101130,0,3385,226169,46779,43137,1397755,342943,174706,0,15463,418805,41470,644953,98,64,151,0,32226,0,9232,327459,9989,444555,12243,8191,32310,114381,267,0,6851,545588,15817,0,360,0,144,191,162,0,4295,0,5605,347582,
160113,1072842,140300,31768,8652,0,25468,406554,150726,420514,2936,0,10238,337207,36935,400198,13614,367195,55874,19353,1404,0,856534,205327,90925,0,2583,197873,38944,38171,1413546,346359,170498,0,14807,373141,39714,585512,70,72,98,0,26127,0,9345,303141,9748,396532,9203,6579,23602,91792,229,0,7063,452506,13665,0,161,0,208,153,90,0,2553,0,5313,305695,
36326,990947,99901,22565,7735,0,39338,302888,57323,338941,16393,0,21471,262189,51485,303068,26132,275761,58091,14878,403,0,499810,120302,53286,0,4331,180437,16168,20958,935357,228860,111307,0,18468,292203,55608,428386,236,302,221,143,2594,0,17196,201395,15425,306280,395,677,1481,4574,6710,0,18273,360877,137247,0,42,0,947,599,913,578,4224,0,10631,250341,
294568,1028557,135861,30576,9769,0,14240,412856,62762,437560,4048,0,7319,336817,20644,390000,9227,362037,132580,30960,782,0,849847,203483,94047,0,1756,183156,206664,78948,1620162,397487,191095,0,9872,368122,19348,564433,84,47,96,76,24171,0,4445,248074,4991,375457,174351,64292,69510,217323,452,0,3677,363485,7732,0,21,0,401,296,305,242,3688,0,3018,269482,
27562,151881,3625,818,11230,3294,5,3,0,0,2533,0,2,0,5,119,0,0,1482,369,581,413,2482,687,323,0,103,0,1282,698,7490,1814,1054,0,0,0,55,44,62,53,55,41,36,0,46,0,38,280,70,27,0,0,252,57,43,1,1594,2,41,91,418,277,312,266,276,0,22,7,
1586,0,290474,65596,16408,0,60665,854370,576867,1058722,21706,0,18608,671444,58707,802521,20494,731206,111914,36524,6148,0,1501635,364037,161811,0,5612,517618,52513,93748,2287990,569182,319171,0,24684,798173,67260,1289584,329,446,329,217,21027,0,14139,528274,13088,786839,8941,9573,47738,149783,1955,0,77710,1204195,525479,0,64,0,1563,951,1155,0,705,0,10017,641563,
